Request_Id,Item_Index,Accessory_Index,Accessory_Id,Accessory_Name,Qty,Returned_Qty,Status
2,1,1,33,Power cable with adapter,1,0,Distributed
5,1,1,14,Holding clip for bottles,1,1,Returned
5,1,2,18,Rod stand + lock camp,1,1,Returned
5,1,3,20,Electrode holder,1,1,Returned
5,1,4,22,Brown glass bottle,1,1,Returned
5,1,5,33,Power cable with adapter,1,1,Returned
7,2,1,3,Stirrering propeller 96mm,1,0,Distributed
7,2,2,5,Dosing unit 10 mL for Titrate,1,0,Distributed
7,2,3,15,Power cable,1,0,Distributed
7,2,4,23,Electrod cable /1 m /F,1,0,Distributed
7,2,5,54,Numerical USB keypad,1,0,Distributed
8,1,1,15,Power cable,2,2,Returned
8,1,2,18,Rod stand + lock camp,1,1,Returned
8,1,3,24,2 Lan cable + Hub box + 1 Hub Power cacle,1,1,Returned
8,1,4,25,OMNIS Dosing unit 10 mL,1,1,Returned
8,1,5,27,OMNIS Holder,1,1,Returned
8,1,6,28,OMNIS Molecular sieve with Cap,1,1,Returned
8,1,7,31,"Green Electrode cable plug-in head G / plug P, 0.55 m ",1,1,Returned
8,1,8,69,OMNIS adapter cable (สายสั้นเขียว),1,1,Returned
8,3,1,23,Electrod cable /1 m /F,1,1,Returned
9,1,1,46,Strand / 1 m / 2 x B (banana),1,1,Returned
9,1,2,80,Adapter,1,1,Returned
10,1,1,6,Dosing unit 20 mL for Titrate,1,0,Submit
10,1,2,18,Rod stand + lock camp,1,0,Submit
10,1,3,22,Brown glass bottle,1,0,Submit
10,1,4,20,Electrode holder,1,0,Submit
10,1,5,33,Power cable with adapter,1,0,Submit